Optimization storage folder ./simulations/storage/OPT_cobyla_Egg_CCS_const_5 created
before =  (20.0, 30.0, 30.0, 20.0)
after =  (20, 30, 30, 20)
before =  (20.000000298023224, 30.0, 30.0, 20.0)
after =  (20, 30, 30, 20)
before =  (20.0, 30.000000447034836, 30.0, 20.0)
after =  (20, 30, 30, 20)
before =  (20.0, 30.0, 30.000000447034836, 20.0)
after =  (20, 30, 30, 20)
before =  (20.0, 30.0, 30.0, 20.000000298023224)
after =  (20, 30, 30, 20)
before =  (21.0, 30.0, 30.0, 20.0)
after =  (21, 30, 30, 20)
before =  (21.0, 31.0, 30.0, 20.0)
after =  (21, 31, 30, 20)
before =  (21.0, 31.0, 31.0, 20.0)
after =  (21, 31, 31, 20)
before =  (21.0, 31.0, 31.0, 21.0)
after =  (21, 31, 31, 21)
before =  (21.188115797680403, 30.9651913535447, 31.883823377064704, 19.5730842671569)
after =  (21, 31, 32, 20)
before =  (21.384406839377128, 31.838616443341497, 31.896309986030815, 19.127615386021976)
after =  (21, 32, 32, 19)
before =  (20.710990954838913, 31.070907682329526, 31.98953970584953, 19.5730842671569)
after =  (21, 31, 32, 20)
before =  (20.62519082048514, 32.4431091822751, 32.08822737671702, 18.981508300681977)
after =  (21, 32, 32, 19)
before =  (21.27213616442505, 31.6558216315902, 31.713515174279518, 18.714617312007796)
after =  (21, 32, 32, 19)
before =  (21.973569670042924, 32.52526823921003, 31.757647126130514, 18.724913161696538)
after =  (22, 33, 32, 19)
before =  (21.920801117133884, 32.30111780548223, 32.1942498655288, 18.645225579016206)
after =  (22, 32, 32, 19)
before =  (21.694803120955275, 31.95619810146669, 32.460054679222466, 18.741678181481692)
after =  (22, 32, 32, 19)
before =  (21.730997112410886, 32.45224099021563, 32.24222921320035, 18.608698807681204)
after =  (22, 32, 32, 19)
before =  (21.90020874146044, 32.16531403179785, 32.174828777232264, 18.16485477385983)
after =  (22, 32, 32, 18)
before =  (22.054493177689434, 32.176717508539454, 32.45910319985845, 17.783732318346836)
after =  (22, 32, 32, 18)
before =  (21.724086688255266, 31.966448522862347, 31.87595123969243, 17.864678576794265)
after =  (22, 32, 32, 18)
before =  (22.120509292468775, 32.107271736677575, 32.07247898085182, 18.17595785376933)
after =  (22, 32, 32, 18)
before =  (21.89211551893326, 32.05439546989805, 32.22353603215787, 18.194589865802154)
after =  (22, 32, 32, 18)
before =  (21.919494295989065, 32.16673946639055, 32.21036308006054, 18.117214466920707)
after =  (22, 32, 32, 18)
before =  (21.878193484809792, 32.14045584318091, 32.13746908503978, 18.127332749226635)
after =  (22, 32, 32, 18)
before =  (21.92774631033648, 32.15805874490781, 32.16203505268471, 18.166242658848518)
after =  (22, 32, 32, 18)
before =  (21.89919708864454, 32.151449211560376, 32.180917184097964, 18.16857166035262)
after =  (22, 32, 32, 18)
before =  (21.90261943577652, 32.165492211121936, 32.1792705650858, 18.15889973549244)
after =  (22, 32, 32, 18)
before =  (21.89745683437911, 32.162206758220734, 32.170158815708206, 18.16016452078068)
after =  (22, 32, 32, 18)
before =  (21.903650937569942, 32.164407120936595, 32.17322956166382, 18.165028259483414)
after =  (22, 32, 32, 18)
before =  (21.900082284858453, 32.163580929268164, 32.17558982809047, 18.165319384671427)
after =  (22, 32, 32, 18)
before =  (21.900510078249948, 32.16533630421336, 32.175384000713954, 18.164110394063904)
after =  (22, 32, 32, 18)
before =  (21.899864753075274, 32.164925622600705, 32.17424503204175, 18.164268492224934)
after =  (22, 32, 32, 18)
before =  (21.90063901597413, 32.16520066794019, 32.17462887528621, 18.164876459562777)
after =  (22, 32, 32, 18)
before =  (21.900192934385192, 32.16509739398164, 32.17492390858954, 18.16491285021128)
after =  (22, 32, 32, 18)
before =  (21.900246408559127, 32.165316815849785, 32.174898180167474, 18.16476172638534)
after =  (22, 32, 32, 18)
before =  (21.900165742912293, 32.16526548064821, 32.17475580908345, 18.164781488655468)
after =  (22, 32, 32, 18)
before =  (21.90025280157064, 32.16530242333882, 32.17480830727299, 18.164856994475812)
after =  (22, 32, 32, 18)
before =  (21.900205504171428, 32.165269664373085, 32.17484826013423, 18.164866667896607)
after =  (22, 32, 32, 18)
